country,year,total_patent,gerd_lag1,tertiary_lag1,eigen,efficiency
Ireland,2015,443,1.523060953,73.81323242,0.039,0.436
Italy,2015,3643,1.338404821,61.70275116,0.087,0.637
Korea,2015,14494,4.077864757,94.85205078,0.068,0.438
Mexico,2015,335,0.435489806,31.0941391,0.019,0.406
Netherlands,2015,3709,1.975677482,,0.127,0.557
NewZealand,2015,311,,77.98130035,0.011,0.469
Norway,2015,659,1.715061764,77.54350281,0.021,0.609
Poland,2015,544,0.939776684,68.44716644,0.025,0.61
Portugal,2015,222,1.289916954,65.50357056,0.008,0.613
Russia,2015,993,1.072411198,78.46309662,0.043,0.482
Singapore,2015,840,2.084635613,,0.065,0.439
Slovenia,2015,85,2.3654796,82.23113251,0.003,0.696
SouthAfrica,2015,301,0.771150624,19.80924034,0.009,0.542
Spain,2015,1795,1.242131185,85.4462738,0.073,0.594
Sweden,2015,3222,3.10183759,62.18059158,0.118,0.645
Switzerland,2015,2572,,57.22972107,0.208,0.624
UK,2015,6331,1.643404491,56.5644989,0.304,0.521
US,2015,53592,2.718388695,88.6268692,0.62,0.814
Austria,2016,1543,3.049690499,80.71942139,0.079,0.638
Belgium,2016,1357,2.428165588,74.55976105,0.1,0.635
Canada,2016,3086,1.693242854,64.78695679,0.208,0.428
Chile,2016,157,0.380727106,85.26672363,0.002,0.47
China,2016,42818,2.05701037,46.04042816,0.35,0.45
Czech,2016,228,1.929233604,64.48162842,0.011,0.68
Denmark,2016,1306,3.054966503,82.12949371,0.051,0.627
Finland,2016,1356,2.871963479,87.67987061,0.042,0.723
France,2016,7661,2.267030775,62.78593063,0.225,0.619
Germany,2016,18754,2.930025346,67.74687195,0.434,0.657
Greece,2016,121,0.961207155,,0.005,0.761
Hungary,2016,263,1.346519917,48.96213913,0.017,0.601
Ireland,2016,480,1.182764363,77.23214722,0.044,0.495
Italy,2016,3651,1.33850443,60.93946075,0.086,0.634
Korea,2016,14984,3.978200252,94.33984375,0.07,0.452
Mexico,2016,316,0.429856312,31.8190403,0.016,0.467
Netherlands,2016,3514,1.984873799,80.5699234,0.11,0.561
NewZealand,2016,281,1.232297512,80.56337738,0.01,0.492
Norway,2016,801,1.935260327,77.9589386,0.021,0.59
Poland,2016,400,1.003236785,66.94615173,0.023,0.547
Portugal,2016,214,1.243297938,61.75632858,0.008,0.627
Russia,2016,1126,1.100852282,79.93813324,0.051,0.421
Singapore,2016,807,2.181981045,,0.054,0.458
Slovenia,2016,93,2.19564741,80.26098633,0.003,0.742
SouthAfrica,2016,294,0.798459349,,0.008,0.566
Spain,2016,1758,1.222357297,85.61177826,0.071,0.616
Sweden,2016,3395,3.21903452,62.28247833,0.115,0.651
Switzerland,2016,2628,3.371602153,57.70735168,0.218,0.596
UK,2016,6257,1.649854765,56.45848846,0.3,0.539
US,2016,54110,2.716597951,88.88941193,0.621,0.807
Austria,2017,1564,3.119235669,83.45494843,0.081,0.628
Belgium,2017,1214,2.522521966,75.89064026,0.103,0.644
Canada,2017,2943,1.728728459,66.43917847,0.19,0.411
Chile,2017,167,0.369342945,87.18814087,0.003,0.63
China,2017,48734,2.10032842,48.01902008,0.36,0.465
Czech,2017,205,1.680145245,63.7481308,0.02,0.515
Denmark,2017,1304,3.092833563,81.05674744,0.044,0.653
Finland,2017,1384,2.724418209,86.97852325,0.053,0.722
France,2017,7394,2.222383891,64.72767639,0.228,0.609
Germany,2017,18919,2.94098963,69.58058929,0.422,0.671
Greece,2017,121,0.993937565,131.540863,0.007,0.689
Hungary,2017,223,1.190070996,48.03886032,0.013,0.593
Ireland,2017,446,1.168675544,77.55713654,0.041,0.46
Italy,2017,3552,1.366422477,60.93732834,0.091,0.622
Korea,2017,15523,3.987037181,94.03362274,0.057,0.454
Mexico,2017,286,0.38798442,38.43338013,0.017,0.384
Netherlands,2017,3154,1.996846558,80.36483765,0.107,0.542
NewZealand,2017,248,,81.77039337,0.008,0.479
Norway,2017,710,2.04460213,80.54653931,0.02,0.639
Poland,2017,358,0.964082384,67.00454712,0.021,0.676
Portugal,2017,203,1.280749327,63.25564957,0.009,0.574
Russia,2017,1125,1.102380719,80.63262177,0.054,0.467
Singapore,2017,854,2.076293075,83.940979,0.061,0.486
Slovenia,2017,126,2.011449666,77.84908295,0.005,0.549
SouthAfrica,2017,264,0.818822569,20.9184494,0.006,0.524
Spain,2017,1651,1.19047619,86.51608276,0.067,0.61
Sweden,2017,3260,3.247361117,63.54801941,0.134,0.645
Switzerland,2017,2684,,58.04695129,0.197,0.626
UK,2017,6071,1.660232957,58.42562103,0.315,0.543
US,2017,53621,2.760293326,88.83505249,0.623,0.811
